Change component parameters: Designator = "J4" ("J4"); Footprint = "Female Header 10x2 Inverted"; UniqueID = "\FCSNYSAV" ("\FCSNYSAV")
Change component parameters (AddParameter): Name = "Alternate Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cert_CSA"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cert_CULUS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cert_UL"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cert_VDE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://drawings-pdf.s3.amazonaws.com/C10419.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ContactFinish"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current_A"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS"; Value = "Incomplete"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS-2"; Value = "Incomplete"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_Lifecycle"; Value = "Not Set"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_REACh"; Value = "Incomplete"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "2017-05-05"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Sullins Connector Solutions"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "TH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Note"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "Header, 10x2, 2.54mm, TH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "PEC10DAAN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PinCount"; Value = "20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch_mm"; Value = "2.54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row_Count"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RowSpacing_mm"; Value = "2.54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shrouded"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "S2012E-10-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SymbolCreator"; Value = "a0412235"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SymbolVersion"; Value = "2013-09-12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage_V"; Value = ""; VariantName = "[No Variations]"
