Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\IoTAdvanced-Mesh-Gateway\CommunicationBoard\Project Outputs for CommunicationBoard\Pick Place for communicationboard.txt

========================================================================================================================
File Design Information:

Date:       10/08/21
Time:       17:49
Revision:   15d1ae35ee6548b0c9c132a745bc92fa0cc5eea1
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                             
S3         SSSS811101         TopLayer    SSSS811101              80.984        538.779       270      "SPDT 300mA @ 5VDC 5V On-On SMD-7PIN Toggle Switches RoHS"                                              
J2         CONSMA002-G        BottomLayer LINX_CONSMA002-G        172.913       2189.803      360      "SMA Female Right-Angle Through-Hole Mount Connector, Gold"                                             
U3         LM2596SX-ADJ/NOPB  TopLayer    VREG_LM2596S-ADJ/NOPB   2126.772      1958.071      90       "No Description Available"                                                                              
U2         TXS0108EPW         BottomLayer TSSOP20                 1023.228      1531.299      90       "Voltage Level Translator Bidirectional 1 Circuit 8 Channel 100Mbps 20-VQFN _3.5x4.5_"                  
U1         A7600E             TopLayer    A7600E                  694.291       1392.520      180      "LTE Cat-4 Module"                                                                                      
TP13       TestPoint          TopLayer    TESTPOINT               1643.891      1417.913      90       ""                                                                                                      
TP12       TestPoint          TopLayer    TESTPOINT               1535.236      1497.047      90       ""                                                                                                      
TP11       TestPoint          TopLayer    TESTPOINT               1475.591      1547.638      90       ""                                                                                                      
TP10       TestPoint          TopLayer    TESTPOINT               1714.370      1038.976      90       ""                                                                                                      
TP9        TestPoint          TopLayer    TESTPOINT               30.709        1451.968      90       ""                                                                                                      
TP8        TestPoint          TopLayer    TESTPOINT               32.480        1296.260      90       ""                                                                                                      
TP7        TestPoint          TopLayer    TESTPOINT               27.362        978.937       90       ""                                                                                                      
TP6        TestPoint          TopLayer    TESTPOINT               31.299        1232.480      90       ""                                                                                                      
TP5        TestPoint          TopLayer    TESTPOINT               1394.882      1548.032      90       ""                                                                                                      
TP4        TestPoint          TopLayer    TESTPOINT               29.134        1648.032      90       ""                                                                                                      
TP3        TestPoint          TopLayer    TESTPOINT               1361.614      1342.716      90       ""                                                                                                      
TP2        TestPoint          TopLayer    TESTPOINT               27.756        1371.653      90       ""                                                                                                      
TP1        TestPoint          TopLayer    TESTPOINT               1353.740      947.835       90       ""                                                                                                      
S2         B3U-1000P          TopLayer    SW_B3U-1000P            102.953       240.551       270      "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                     
S1         B3U-1000P          TopLayer    SW_B3U-1000P            1353.740      834.842       90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                     
R18        1K                 TopLayer    R0805                   1843.504      1693.701      180      ""                                                                                                      
R17        62ohm              TopLayer    R0805                   1696.850      1616.732      360      ""                                                                                                      
R16        2.2K               TopLayer    R0805                   1697.047      1693.110      180      ""                                                                                                      
R15        22ohm              BottomLayer R0805                   1420.079      1612.205      360      ""                                                                                                      
R14        22ohm              BottomLayer R0805                   1420.473      1762.992      360      ""                                                                                                      
R13        22ohm              BottomLayer R0805                   1420.866      1687.598      360      ""                                                                                                      
R12        10K                BottomLayer R0805                   498.425       147.441       90       ""                                                                                                      
R11        10K                BottomLayer R0805                   208.268       443.701       90       ""                                                                                                      
R10        10K                BottomLayer R0805                   209.843       679.921       90       ""                                                                                                      
R9         47Kohm             BottomLayer R0805                   1409.252      1281.299      180      ""                                                                                                      
R8         4.7K               BottomLayer R0805                   1409.252      1206.299      180      ""                                                                                                      
